"age_group","sex","physical_health","cognitive_function","psychological_condition","social_resources","socioeconomic_resources","health_behavior","probability_limited"
"70-79","male","mid","mid","mid","mid","mid","low",0.222881057022526
"65-69","male","mid","low","mid","mid","mid","high",0.222873278066984
"80+","male","high","low","low","low","high","high",0.222146583613413
"80+","male","mid","high","mid","high","high","low",0.22203797448099
"65-69","female","low","low","high","low","high","mid",0.221958416600605
"80+","male","mid","high","high","low","mid","low",0.221706957150583
"65-69","male","mid","low","low","mid","low","high",0.221633232086842
"80+","female","high","low","high","high","low","mid",0.221590699642136
"65-69","male","mid","high","mid","low","high","low",0.221333010612587
"65-69","male","high","mid","high","low","high","mid",0.221111586888999
"80+","female","high","mid","low","low","mid","low",0.221036612666756
"70-79","female","high","low","low","mid","mid","mid",0.220923913996074
"65-69","female","mid","low","low","low","high","low",0.220836042185072
"70-79","male","high","high","low","high","mid","mid",0.220833743132768
"70-79","female","low","high","low","mid","low","low",0.220731545705857
"70-79","female","low","low","low","low","low","mid",0.220485562798634
"65-69","male","low","high","low","low","low","low",0.220428383384025
"70-79","female","low","mid","mid","mid","high","low",0.220016508387234
"70-79","male","mid","high","low","mid","low","low",0.2198333913524
"80+","male","high","mid","high","high","high","low",0.219787554920741
"70-79","female","high","low","low","low","low","low",0.219568128927499
"80+","female","high","mid","low","high","mid","mid",0.219304259790439
"80+","male","mid","high","mid","mid","mid","low",0.219262407614729
"70-79","male","high","high","low","mid","high","low",0.219217718314993
"65-69","male","mid","mid","low","mid","low","low",0.219172871279028
"65-69","female","mid","low","low","high","high","mid",0.21910481910583
"70-79","male","low","mid","mid","high","mid","low",0.219069201624899
"70-79","female","low","low","low","low","high","high",0.219067791406436
"80+","male","low","mid","mid","mid","high","high",0.218993091361692
"80+","male","low","mid","high","high","mid","high",0.218942749083814
"80+","male","low","mid","mid","low","mid","high",0.218843198101123
"70-79","male","high","mid","low","low","high","low",0.21844915250161
"80+","male","mid","high","low","mid","high","high",0.218343722865748
"80+","female","low","mid","mid","mid","low","mid",0.218337924447713
"70-79","male","mid","low","high","high","low","low",0.21827581209186
"70-79","male","high","low","mid","mid","mid","mid",0.218249780549404
"70-79","female","high","low","mid","high","mid","low",0.218235212944924
"65-69","male","low","high","high","mid","high","low",0.218156303711869
"70-79","female","low","mid","low","high","mid","high",0.218105128415832
"80+","male","high","high","low","mid","low","low",0.217852529587534
"65-69","female","high","low","low","high","low","low",0.217849080133459
"70-79","female","high","low","low","high","low","mid",0.217844066527139
"65-69","male","low","high","low","low","mid","mid",0.217746468015034
"65-69","male","low","mid","mid","mid","high","mid",0.217736983371622
"80+","male","mid","mid","low","low","high","high",0.217577367351568
"65-69","male","high","low","low","mid","low","mid",0.217572787809412
"65-69","female","mid","low","mid","low","mid","low",0.217454401119541
"70-79","male","mid","low","mid","low","low","high",0.217119807740734
"70-79","male","high","low","mid","low","high","mid",0.216983923613926
"80+","female","mid","high","mid","high","mid","low",0.216973272904704
"80+","female","low","mid","low","low","mid","high",0.216952351438924
"70-79","male","low","high","low","mid","mid","high",0.216944900909438
"80+","female","mid","mid","low","low","low","mid",0.216925259492245
"65-69","male","low","low","mid","high","low","mid",0.216693251904083
"70-79","male","low","low","high","mid","low","mid",0.216661494275296
"80+","male","mid","low","high","high","mid","high",0.216630669496211
"70-79","female","low","high","high","low","low","low",0.216600397244129
"70-79","female","high","low","low","high","high","high",0.21643856440735
"80+","male","high","low","mid","low","mid","high",0.216262073684961
"80+","female","high","high","low","low","high","low",0.216165441657199
"80+","female","high","low","low","mid","high","high",0.215638762980216
"80+","female","mid","mid","high","high","low","low",0.215624461297015
"70-79","male","high","low","high","low","low","high",0.21555646101679
"80+","female","high","mid","mid","low","low","low",0.215257107097688
"70-79","female","low","high","high","high","high","low",0.215111904622952
"80+","male","mid","mid","high","low","high","mid",0.215059601333535
"70-79","female","low","high","mid","low","high","low",0.215013615980849
"70-79","male","mid","mid","mid","low","low","low",0.21469573062916
"80+","female","high","high","low","high","high","mid",0.214460755295254
"65-69","female","low","low","high","mid","mid","low",0.214318040449562
"65-69","male","high","mid","low","mid","mid","low",0.214267106939053
"80+","male","low","high","high","high","high","high",0.214105039161603
"80+","male","low","high","mid","low","high","high",0.214007085136644
"70-79","male","mid","high","low","mid","mid","mid",0.21394902472432
"70-79","male","mid","mid","mid","low","high","mid",0.21390133825441
"65-69","male","high","low","mid","low","low","low",0.213813932035665
"65-69","male","low","mid","mid","high","mid","low",0.213397289574911
"70-79","male","high","mid","high","low","low","low",0.213145086135114
"65-69","male","low","high","high","high","high","mid",0.212869326515879
"70-79","male","low","high","high","low","mid","high",0.212865263397993
"65-69","male","low","high","mid","low","high","mid",0.2127717847748
"80+","male","high","low","high","high","low","high",0.212731302127333
"80+","male","mid","mid","mid","mid","high","mid",0.212668318239081
"80+","male","mid","mid","mid","low","mid","mid",0.212521576070144
"70-79","male","high","mid","high","low","high","mid",0.212354879789072
"80+","male","high","low","high","mid","mid","mid",0.212239427069119
"80+","female","low","high","low","low","high","high",0.212146675448351
"80+","male","high","high","low","mid","mid","low",0.211616781321116
"70-79","male","low","high","mid","mid","mid","low",0.211524967061295
"65-69","male","mid","low","high","low","high","high",0.21145757359726
"70-79","female","mid","low","high","low","mid","mid",0.211431610180569
"80+","female","high","low","high","high","high","mid",0.211376109415882
"65-69","male","low","high","low","mid","mid","high",0.211313106471717
"65-69","female","low","high","low","mid","high","low",0.211287507449155
"80+","female","mid","mid","low","mid","high","high",0.211167064236463
"70-79","female","mid","low","low","mid","low","mid",0.211027310624978
"70-79","male","mid","low","mid","high","high","high",0.210992888614154
"65-69","male","mid","low","mid","low","low","mid",0.210961401860161
"65-69","male","low","high","low","low","high","high",0.210899837918978
"70-79","female","low","mid","low","mid","high","mid",0.210808807928384
"65-69","female","low","mid","low","low","high","low",0.210539247439522
"80+","male","high","mid","low","high","mid","high",0.210511554402819
"65-69","female","high","low","low","mid","high","low",0.210373516373273
"80+","male","high","mid","high","high","low","low",0.210343057094094
"70-79","male","low","mid","high","mid","mid","low",0.21019916948369
"70-79","female","mid","high","low","low","high","low",0.210169978565944
"70-79","female","low","low","high","high","mid","high",0.210161891101515
"70-79","female","low","low","mid","low","mid","high",0.210065258883534
"65-69","male","high","low","low","low","high","high",0.209987077348822
"70-79","female","high","mid","low","mid","high","low",0.209920795591874
"70-79","male","mid","high","high","low","high","low",0.209778983906491
"70-79","female","mid","low","low","mid","high","high",0.209654000443404
"80+","male","low","mid","mid","mid","low","high",0.209573562367901
"65-69","female","low","low","mid","high","high","low",0.209515290370229
"80+","female","mid","mid","mid","low","high","mid",0.209346610075951
"65-69","male","high","high","high","low","mid","low",0.209238175978102
"65-69","male","mid","low","mid","mid","high","high",0.209095672947112
"70-79","female","mid","low","mid","mid","mid","mid",0.209069922642464
"65-69","female","low","mid","low","high","high","mid",0.208867106641084
"70-79","female","mid","mid","mid","low","mid","low",0.20857738954954
"70-79","female","mid","high","low","high","high","mid",0.208499996002508
"80+","male","mid","mid","low","low","low","high",0.208202499399351
"65-69","male","low","low","high","mid","low","mid",0.207893811069073
"70-79","female","mid","low","mid","low","high","mid",0.207843153426089
"80+","female","mid","low","mid","high","low","high",0.207835101925404
"80+","male","mid","high","mid","low","high","mid",0.207788001791769
"65-69","male","mid","mid","mid","low","mid","low",0.207729501962906
"65-69","male","high","mid","high","high","high","low",0.207722691157149
"70-79","male","mid","high","mid","mid","high","low",0.207430900370868
"65-69","male","low","high","high","low","mid","high",0.207311336390757
"65-69","female","low","high","high","low","high","low",0.207286094739832
"70-79","male","low","mid","low","low","low","mid",0.207080404413075
"70-79","female","high","mid","high","low","mid","low",0.207059283473509
"80+","female","low","mid","high","high","high","high",0.207030799795138
"80+","female","low","mid","mid","low","high","high",0.206935230059762
"70-79","female","low","mid","high","low","high","mid",0.206814083753537
"80+","male","high","low","mid","mid","low","mid",0.206535535533286
"70-79","female","high","low","high","low","high","mid",0.206328998172766
"70-79","male","high","low","mid","low","mid","high",0.206202964505675
"65-69","male","low","high","mid","mid","mid","low",0.205996858274636
"80+","male","high","high","low","high","high","high",0.205811049268129
"65-69","male","low","mid","high","high","high","high",0.205806175224515
"80+","male","mid","mid","high","low","low","mid",0.205764688023587
"65-69","male","low","mid","mid","low","high","high",0.205711024148827
"80+","male","low","mid","mid","high","mid","mid",0.205449620878049
"70-79","female","low","low","mid","high","mid","mid",0.205431832728873
"70-79","female","low","low","low","mid","low","high",0.205376645216283
"70-79","female","mid","low","low","low","mid","high",0.205303939451437
